,video_id,video_title,upload_date,view_count,like_count,comment_count
125,MOifIuOhBiA,День шестьдесят девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-03,2369483,343165,4794
126,w1HhdOe2W88,"После рая. Беседа Андрея Пионтковского, Геннадия Гудкова, Марка Фейгина",2022-05-03,1224598,100709,1583
127,rmpTkRnvMyM,День шестьдесят восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-02,2004268,332890,4719
128,qVPw33-qtgw,День шестьдесят седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-05-01,2098377,345593,5237
129,gA9XVJ4lv1g,День шестьдесят шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-30,2026267,317671,6309
130,ZBAGFC0CIkw,День шестьдесят пятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-29,1882268,333933,4410
131,fud4AxHTsA4,Шестой пакет. Беседа с Михаилом Крутихиным,2022-04-29,581313,61205,600
132,ZLVr8LX64nY,День шестьдесят четвёртый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-28,1858627,337801,4046
133,Gd_S-T4BDJc,Ядерные санкции. Беседа с Фёдором Крашенинниковым,2022-04-28,560975,49927,755
134,wDao68ooVVQ,День шестьдесят третий. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-27,1774521,316576,4051
135,n91q3K1JXSM,Третий фронт. Беседа с Олегом Ждановым,2022-04-27,853688,77314,1154
136,MqtXBMuPjuU,День шестьдесят второй. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-26,1672369,281894,3885
137,dgjZHgXDBGI,"Z-конец Путина. Беседа Андрея Пионтковского, Геннадия Гудкова, Марка Фейгина",2022-04-26,1337695,126225,2596
138,qben3H-mciQ,День шестьдесят первый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-25,1946567,436511,4864
139,yzWs4m8Ssmg,День шестидесятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-24,1747187,270150,4001
140,Nj34ttIgyII,День пятьдесят девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-23,1905027,449601,5935
141,LvLNP05xMDE,День пятьдесят восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-22,1792661,198270,4187
142,59tN0cd66bA,Гарантии безопасности. Беседа с Андреем Илларионовым,2022-04-22,590095,41850,1397
143,z4At0ncJWIg,День пятьдесят седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-21,1648871,188959,3951
144,Joq787vkKeY,"Пасхальный геноцид. Беседа Андрея Пионтковского, Геннадия Гудкова, Марка Фейгина",2022-04-21,1030168,75813,1729
145,Ae-6j8W8Vys,День пятьдесят шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-20,1762405,176887,4667
146,4abmU0CVG6o,Успеть до 9 мая. Беседа с Олегом Ждановым,2022-04-20,1349835,88541,1987
147,Wamzqj6G7SI,День пятьдесят пятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-19,1601734,177622,3572
148,fSbbDDg0-fc,День пятьдесят четвёртый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-18,1654478,179094,3350
149,0jgfzpX7GtU,День пятьдесят третий. Беседа с  Alexey Arestovych  с Алексей Арестович,2022-04-17,1802350,209789,4602
150,kGXHOclxfaw,День пятьдесят второй. Беседа с  Alexey Arestovych Алексеем Арестовичем,2022-04-16,1457892,153742,3376
151,zbgLoYZayXw,День пятьдесят первый. Беседа с  Alexey Arestovych Алексей Арестович  | English subtitles,2022-04-15,1588928,175308,4044
152,OZ016SMxLVY,День пятидесятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-14,1661462,223989,3127
153,CqG9zV6FSc0,День сорок девятый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-13,1433058,155981,3067
154,4cosNBrG6Jo,"Стратегия победы. Беседа Андрея Пионтковского, Геннадия Гудкова и Марка Фейгина",2022-04-13,962580,85561,1392
155,csB4Mm5fNTQ,День сорок восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-12,1393463,161747,3223
156,8rAb67ndPx4,День сорок седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-11,1351158,134689,2662
157,JgeL9Mr_OXk,День сорок шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-10,1342764,124649,3905
158,a0njMyqxVsQ,День сорок пятый. Беседа с   Alexey Arestovych Алексей Арестович,2022-04-09,1217097,143435,2822
159,zpr1pPUqp2U,Клуб иностранных агентов. Стрим Марка Фейгина,2022-04-09,344656,32488,752
160,Wc48L6Km97w,Соотношение резервов. Беседа с Олегом Ждановым,2022-04-08,1353922,111477,2297
161,nFuQnYLYutA,Антифашизм. Беседа с Геннадием Гудковым и Андреем Пионтковским,2022-04-07,778309,60957,2154
162,JV8fN2GZ-7Q,День сорок первый. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-05,1026257,121133,1790
163,BO6nI6o6ruY,После Бучи. Беседа с  Аркадий Бабченко Аркадий Бабченко,2022-04-05,434971,31284,1777
164,5_VSoGBsg7U,День тридцать девятый. Беседа с  Alexey Arestovych Алексей Арестович | English subtitles,2022-04-03,1391446,136547,3594
165,XsDDeUhm_uc,День тридцать восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-04-02,1162659,102645,2747
166,S-OGerp2odE,Бойня. Беседа с  Народовластие В. Мальцев  Вячеславом Мальцевым,2022-03-30,896407,46434,1906
167,vAUwezcdrLk,День тридцать четвёртый. Беседа с  Alexey Arestovych Алексей Арестович,2022-03-29,1373744,125919,2783
168,nISwqA7hLO8,Невозможный компромисс. Беседа с Андреем Пионтковским,2022-03-29,805392,66016,1491
169,Ouxz_FgnoeM,Иск Раша Тудей к Фейгину. Стрим Марка Фейгина,2022-03-28,573743,38371,865
170,fx-VTYfAl3A,День тридцать второй. Беседа с   Alexey Arestovych    Алексей Арестович,2022-03-27,1276889,80777,1892
171,lLxj8VuIjBc,Дитя лубянки. Беседа с Альнуром Мусаевым,2022-03-27,341855,21378,418
172,WR_w3oPf5Xo,Русский Лондон: отнять и поделить! Беседа с Андреем Сидельниковым,2022-03-25,379391,24797,670
173,ZPDUT6UtMdA,День двадцать девятый. Календарный месяц. Беседа с  Alexey Arestovych  Алексей Арестович,2022-03-24,1031567,100816,2456
174,uKo-oiFEX-4,День двадцать восьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-03-23,1004802,73961,2075
175,_msi2rFrov0,День двадцать седьмой. Беседа с  Alexey Arestovych Алексей Арестович,2022-03-22,1156638,109875,2471
176,OnKlbda19z4,Тотальная война. Беседа с Андреем  Пионтковским,2022-03-21,672450,57718,1222
177,KyNC_EZl4rY,День двадцать шестой. Беседа с  Alexey Arestovych Алексей Арестович,2022-03-21,930887,77415,1998
178,qgVi8KxTqQw,День двадцать пятый. Беседа с  Alexey Arestovych  Алексей Арестович,2022-03-20,958445,81566,1919
179,FlCp1J_OwlI,День двадцать четвёртый. Беседа с  Alexey Arestovych Алексей Арестович,2022-03-19,922461,72281,1931
180,j92C_fdmXsY,Стероидная ярость. Беседа с Глебом Павловским,2022-03-18,537677,34195,803
181,Zg9tsXeSL4I,Пустеющий рейх. Беседа с Артемием Троицким,2022-03-17,855839,46478,1595
182,Y0AT_LSAOmY,День двадцать первый. Контрнаступление. Беседа с  Alexey Arestovych  Алексей Арестович,2022-03-16,909564,87401,2464
183,krBlgGZVgGM,День двадцатый. Беседа с  Alexey Arestovych Алексеем Арестовичем,2022-03-15,779174,74837,1585
184,py3FGUm4SSg,"Вместе шли, вместе и висеть! Стрим Марка Фейгина",2022-03-13,710094,52577,1487
185,WyW4fqcajo8,День семнадцатый. Беседа с   Alexey Arestovych   Алексей Арестович,2022-03-12,556550,52676,1472
186,EMyIMe9rK_E,Две недели спустя. Беседа с  Alexey Arestovych Алексей Арестович,2022-03-09,454148,37082,896
187,oAZn3HpOp24,Длительная осада. Беседа с Юрием Фёдоровым,2022-03-08,460362,33365,992
188,MWkNry5BMRo,Авантюра. Беседа с Андреем Илларионовым,2022-03-06,517700,30188,1772
189,Zv-WB8AXLKs,Пределы шантажа. Беседа с Андреем Пионтковским,2022-03-02,441462,34908,1371
190,wcGcADf4rPI,Необъявленная мировая война. Беседа с Юрием Фельштинским,2022-03-02,301343,24963,888
191,6g1cH4dH7ME,Под знаком &quot;Z&quot;. Беседа с  Аркадий Бабченко,2022-03-01,369628,36152,1810
192,79jtV0ik1dA,День пятый. Беседа с  Alexey Arestovych,2022-02-28,355941,24999,702
193,dERKU4NPYqw,Обход блокировок. Беседа с Михаилом Климарёвым.,2022-02-27,73990,3755,185
194,2aa-l4-cqCM,Обход блокировок. Беседа с Михаилом Климарёвым,2022-02-27,129949,9551,200
195,__jp6IfB868,День четвёртый. Беседа с  Alexey Arestovych  Алексеем Арестовичем.,2022-02-27,420004,22044,930
196,_k2jya0oKUg,Последний шанс-2. Беседа с  Тарас Березовец,2022-02-27,254789,10894,392
197,LNTvc4dpDbE,Последний шанс. Беседа с  Тарас Березовец,2022-02-27,248283,18219,758
198,uU53V6QF018,Таёжный план шаманов. Беседа с  Валерий Соловей,2022-02-25,445853,35524,1635
199,3J9c8ugJFO8,"Северный поток, чао! Беседа с Михаилом Крутихиным",2022-02-23,217844,21061,341
200,ifwyrVCkK3k,Неизлечимый. Беседа с Фёдором Крашенинниковым,2022-02-21,254735,23621,916
201,GSUZ9qXlt78,Учения Путина. Беседа с  Аркадий Бабченко,2022-02-16,203726,20544,622
202,AKscSgEi-Rc,Блеф или война? Беседа с Ильёй Пономарёвым,2022-02-15,164814,13535,471
203,JiL02KZJIUk,Украинская ловушка. Беседа с  Alexey Arestovych,2022-02-14,234211,23612,1164
204,gdln4cnuUUE,Casus belli. Беседа с Алексеем Гончаренко,2022-02-14,131071,16293,469
205,yaKYmkAt3UA,Последние приготовления. Беседа с  Народовластие В. Мальцев,2022-02-13,257545,17235,1539
206,qncVvIoIfqc,Фатум. Беседа с Андреем Космачем,2022-02-12,689311,51036,3087
207,GjDn31XIxk0,Аппетит агрессора. Беседа с  Тарас Березовец,2022-02-08,187582,21097,555
208,16nCx5ip5rY,Гибридное поражение. Беседа с Андреем Пионтковским,2022-02-06,390897,34399,865
209,fajseVKtkZo,Ядовитый Кремль. Беседа с Фёдором Крашенинниковым,2022-02-01,192695,19365,595
210,pH1NRgEWhAI,Третья мировая. Беседа с Александром Морозовым,2022-01-25,163618,15596,533
211,oikEs_m4jJ4,Соотношение сил. Беседа с Юрием Фёдоровым,2022-01-24,208252,20743,751
212,6R9DXXmX_UA,Железная маска. Беседа с Фёдором Крашенинниковым,2022-01-17,164328,15512,888
213,uk2SRgzk_QY,Казахстан: победители и проигравшие. Беседа с Жанболатом Мамаем,2022-01-12,147016,12868,713
214,HN5nSGXQedU,Двойное проникновение. Стрим Марка Фейгина,2022-01-12,150206,16360,363
215,Gybn6iLLriA,"Неистребимый совок. Беседа с журналистом, музыкальным критиком Артемием Троицким",2021-12-30,102295,10351,462
216,Z9dESb416Co,Порочное наследство. Беседа с Геннадием Гудковым,2021-12-25,175660,18339,589
217,Px2zcm7qlQ0,Сахаров и Навальный. Беседа с Фёдором Крашенинниковым,2021-12-21,116544,13603,470
218,Y0ND-HtWu3o,Дорогой Гитлера. Беседа с Юрием Фёдоровым,2021-12-20,199021,17527,647
219,Tn-VXQF82Hw,Нобелевский член. Беседа с  Народовластие В. Мальцев,2021-12-11,151494,14052,1264
220,Fk8a0pCaWto,This is Munich. Беседа с Андреем Илларионовым,2021-12-09,146509,13036,997
221,C2X1XxzMKzk,Война в обмен на санкции. Беседа с Геннадием Гудковым,2021-12-09,105483,11836,340
222,EVQFE0kbmYA,Пришли за Хованскими и Моргенштернами. Беседа с Михаилом Световым,2021-12-02,104421,10087,354
223,hKCmGDOu05I,Между блефом и войной. Беседа с Андреем Пионтковским,2021-11-25,198662,20995,504
224,L7I7rw4WePU,Решение проблем внутренних путём создания внешних. Беседа с  Валерий Соловей,2021-11-19,161450,16341,487
225,ZJj6oRT1CBw,QR-Russia. Беседа с  SVTV  Михаилом Световым,2021-11-09,94564,9971,480
226,hOeT13XUPpo,Колониальные нравы. Беседа с Дмитрием Демушкиным,2021-11-08,120270,12963,617
227,wWPjks38ifE,День народного единства. Беседа с  Игорь Яковенко,2021-11-02,142034,15820,501
228,TfX0CpnJ_i8,"Хэллуоин для Орейры. Беседа с  Аркадий Бабченко,  Айдер Муждабаев,  Роман Цимбалюк",2021-10-31,133920,15105,2037
229,xEIMiXAKe5w,Цена европейской демократии. Беседа с Михаилом Крутихиным,2021-10-16,140524,14754,427
